Date,Open,High,Low,Close,Volume,Change
2025-04-29,55700,56500,55600,55800,10295518,0.0
2025-04-30,55900,56000,55300,55500,13014189,-0.005376344086021501
2025-05-02,55000,55500,54200,54300,22454204,-0.021621621621621623
2025-05-07,54500,55000,54300,54600,17136991,0.005524861878453136
2025-05-08,55100,55500,54500,54600,16320532,0.0
2025-05-09,54700,55000,54400,54800,7814322,0.00366300366300365
2025-05-12,55200,57600,55000,57600,15414702,0.051094890510948954
2025-05-13,57700,58200,56800,56900,16842801,-0.01215277777777779
2025-05-14,57500,57900,57000,57400,12468089,0.008787346221441172
2025-05-15,57400,58600,57100,57300,13139736,-0.0017421602787456303
2025-05-16,57400,57500,56700,56800,10385352,-0.008726003490401424
2025-05-19,56400,56400,55500,55800,9802105,-0.017605633802816878
2025-05-20,56200,56700,55700,55900,9080577,0.0017921146953405742
2025-05-21,56200,56600,55700,55700,7794181,-0.003577817531305927
2025-05-22,55300,55500,54500,54700,15254278,-0.01795332136445238
2025-05-23,55000,55200,54100,54200,11247115,-0.009140767824497242
2025-05-26,53900,55000,53700,54700,10901337,0.009225092250922495
2025-05-27,54200,54500,53800,53900,13439520,-0.014625228519195566
2025-05-28,54300,56100,54200,55900,17516283,0.03710575139146566
2025-05-29,56200,56400,55600,56100,12936810,0.003577817531305927
2025-05-30,56200,57200,55800,56200,26219683,0.0017825311942958333
2025-06-02,56300,57300,56200,56800,12870515,0.01067615658362997
2025-06-04,57200,57900,56800,57800,19649983,0.01760563380281699
2025-06-05,58100,59900,57900,59100,23266027,0.02249134948096887
2025-06-09,60400,60400,59500,59800,19609659,0.011844331641285955
2025-06-10,60000,60100,58800,59200,15305760,-0.010033444816053505
2025-06-11,59500,60100,59400,59900,13610734,0.011824324324324342
2025-06-12,59700,60000,59300,59500,17755115,-0.006677796327211993
2025-06-13,60200,60200,57700,58300,20705979,-0.020168067226890796
2025-06-16,58000,58100,56900,57200,22200872,-0.018867924528301883
2025-06-17,57800,59800,57400,58100,28637003,0.01573426573426584
2025-06-18,58000,59800,57900,59800,17620705,0.029259896729776358
2025-06-19,60500,60600,59000,59200,16876278,-0.010033444816053505
2025-06-20,59400,59800,59100,59500,18072251,0.0050675675675675436
2025-06-23,58400,58500,57600,58000,16551694,-0.025210084033613467
2025-06-24,59400,60600,59300,60500,23737899,0.0431034482758621
2025-06-25,61500,61600,60300,61300,23933612,0.013223140495867813
2025-06-26,61300,61300,59900,60200,19402300,-0.01794453507340943
2025-06-27,60100,61600,60000,60800,17340470,0.009966777408637828
2025-06-30,61200,61200,59800,59800,17110294,-0.016447368421052655
2025-07-01,60400,61100,60200,60200,13650991,0.006688963210702337
2025-07-02,60200,60900,59800,60800,15047951,0.009966777408637828
2025-07-03,61300,63800,61100,63800,32040639,0.049342105263157965
2025-07-04,64700,64700,63000,63300,23748959,-0.00783699059561127
2025-07-07,62900,63300,61700,61700,17164708,-0.025276461295418606
2025-07-08,61600,62400,61000,61400,20213724,-0.004862236628849326
2025-07-09,61400,61400,60200,60400,17533415,-0.016286644951140072
2025-07-10,60600,61200,60400,61000,14768473,0.009933774834437026
2025-07-11,61300,62800,61200,62600,19140650,0.026229508196721207
2025-07-14,62300,62600,61800,62500,13563846,-0.0015974440894568342
2025-07-15,62300,63800,62000,63700,18442202,0.019200000000000106
2025-07-16,63700,64700,63100,64700,23042660,0.01569858712715866
2025-07-17,65900,66800,64400,66700,39448683,0.03091190108191655
2025-07-18,67000,67800,66300,67100,23951531,0.0059970014992503096
2025-07-21,67400,68800,67200,67800,17723148,0.010432190760059523
2025-07-22,68100,68500,65600,66000,20829006,-0.026548672566371723
2025-07-23,66200,66500,64900,66400,15687058,0.0060606060606061
2025-07-24,66500,66800,65900,66000,12660193,-0.0060240963855421326
2025-07-25,65700,66300,65500,65900,8080910,-0.0015151515151514694
2025-07-28,68200,70400,67200,70400,35332500,0.06828528072837625
2025-07-29,70800,70800,68800,70600,28190940,0.0028409090909091717
2025-07-30,71000,73700,70600,72600,34761444,0.028328611898017053
2025-07-31,73000,74000,71000,71400,26568072,-0.016528925619834656
2025-08-01,70200,72000,68800,68900,24038534,-0.03501400560224088
2025-08-04,69500,70200,68700,69700,14780072,0.011611030478954953
2025-08-05,71000,71500,69700,69900,14392903,0.0028694404591105283
2025-08-06,69200,69400,68300,68800,12542415,-0.01573676680972813
2025-08-07,70800,71000,69700,70500,15008213,0.024709302325581328
2025-08-08,71000,72400,70700,71800,22241128,0.018439716312056653
2025-08-11,72000,72100,70800,71000,11354253,-0.011142061281337101
2025-08-12,71100,72400,71100,71100,15797656,0.0014084507042253502
2025-08-13,71900,72100,71400,71900,12305742,0.011251758087201136
2025-08-14,71900,71900,71200,71600,11946122,-0.004172461752433909
2025-08-18,71100,71200,70000,70000,13595591,-0.022346368715083775
2025-08-19,70400,70700,69700,70000,10533082,0.0
2025-08-20,70100,70700,69400,70500,17445516,0.0071428571428571175
2025-08-21,71500,71900,70600,70600,18843833,0.0014184397163119478
2025-08-22,71700,71800,70800,71400,9277432,0.011331444759206777
2025-08-25,71700,71800,71000,71500,10345178,0.0014005602240896309
2025-08-26,70800,71100,70300,70300,14712519,-0.016783216783216814
2025-08-27,70100,70900,69800,70600,10523405,0.004267425320056972
2025-08-28,70100,70400,69600,69600,11578024,-0.014164305949008527
2025-08-29,70100,70500,69700,69700,11682267,0.001436781609195359
2025-09-01,68400,68600,67500,67600,12002343,-0.03012912482065999
2025-09-02,67800,69500,67800,69100,10604028,0.022189349112426093
2025-09-03,69200,69800,68800,69800,10283009,0.01013024602026058
2025-09-04,69500,70100,69300,70100,12284414,0.004297994269341077
2025-09-05,70300,70400,69500,69500,11526724,-0.008559201141226769
2025-09-08,69800,70500,69600,70100,9263135,0.008633093525179936
2025-09-09,70100,71500,70000,71500,14870245,0.0199714693295292
2025-09-10,71800,72800,71600,72600,21928565,0.01538461538461533
2025-09-11,73200,73600,72100,73400,20793501,0.011019283746556363
2025-09-12,74600,75600,74200,75400,28219678,0.027247956403269713
2025-09-15,77200,77600,75900,76500,19908805,0.01458885941644561
2025-09-16,76900,79500,76700,79400,28218265,0.03790849673202623
2025-09-17,79100,79100,77100,78200,20856317,-0.015113350125944613
2025-09-18,79100,80500,78600,80500,25619035,0.02941176470588225
2025-09-19,81100,81200,79600,79700,20898386,-0.009937888198757738
2025-09-22,81500,84000,81100,83500,27529656,0.04767879548306153
2025-09-23,85800,85900,83600,84700,23610263,0.014371257485029876
2025-09-24,84200,85500,83700,85400,18300997,0.008264462809917328
2025-09-25,84400,86200,84100,86100,19665151,0.008196721311475308
2025-09-26,85000,85300,82400,83300,24071193,-0.03252032520325199
2025-09-29,83300,85000,83200,84200,13069094,0.010804321728691502
2025-09-30,84600,84900,83400,83900,16319061,-0.0035629453681710332
2025-10-01,84900,86200,84700,86000,22039361,0.025029797377830842
2025-10-02,89300,90300,88700,89000,49883028,0.03488372093023262
2025-10-10,94000,94500,92700,94400,35269748,0.06067415730337089
2025-10-13,91300,93400,90700,93300,23883308,-0.01165254237288138
2025-10-14,95300,96000,90200,91600,35545235,-0.018220793140407254
2025-10-15,92300,95300,92100,95000,21050111,0.037117903930131035
2025-10-16,95300,97700,95000,97700,28141060,0.028421052631578902
2025-10-17,97200,99100,96700,97900,22730809,0.0020470829068577334
2025-10-20,97900,98300,96000,98100,17589756,0.0020429009193054792
2025-10-21,98500,99900,97300,97500,22803830,-0.006116207951070374
2025-10-22,97100,98600,95500,98600,15937611,0.011282051282051286
2025-10-23,96800,98500,96300,96500,18488581,-0.02129817444219062
2025-10-24,97900,99000,97700,98800,18801925,0.023834196891191706
