[2026-04-27 01:57:07] ====== Trading Bot Started ======
[2026-04-27 01:57:07] Target: KRW-XRP | Invest: 15.0% of KRW balance
[2026-04-27 01:57:07] Stop-Loss: L1=-1.5%  L2=-3.0%  L3=-5.0%
[2026-04-27 01:57:07] Take-Profit: 3.0%
[2026-04-27 01:57:07] =================================
[2026-04-27 01:57:08] XRP=2,118.00원 | RSI=33.33 | KRW=100,000원 | XRP보유=0.0000
[2026-04-27 01:57:09] [BUY]  15,000원 매수 @ 2,118.00원 | qty=7.0822
[2026-04-27 01:57:40] XRP=2,118.00원 | RSI=33.33 | KRW=84,993원 | XRP보유=7.0788
[2026-04-27 01:58:11] XRP=2,118.00원 | RSI=33.33 | KRW=84,993원 | XRP보유=7.0788
[2026-04-27 01:58:42] XRP=2,118.00원 | RSI=33.33 | KRW=84,993원 | XRP보유=7.0788
[2026-04-27 01:59:13] XRP=2,119.00원 | RSI=40.0 | KRW=84,993원 | XRP보유=7.0788
[2026-04-27 01:59:44] XRP=2,118.00원 | RSI=33.33 | KRW=84,993원 | XRP보유=7.0788
[2026-04-27 02:00:16] XRP=2,118.00원 | RSI=25.0 | KRW=84,993원 | XRP보유=7.0788
[2026-04-27 02:00:47] XRP=2,118.00원 | RSI=25.0 | KRW=84,993원 | XRP보유=7.0788
[2026-04-27 02:01:18] XRP=2,118.00원 | RSI=25.0 | KRW=84,993원 | XRP보유=7.0788
[2026-04-27 02:01:49] XRP=2,118.00원 | RSI=25.0 | KRW=84,993원 | XRP보유=7.0788
[2026-04-27 02:02:20] XRP=2,117.00원 | RSI=22.22 | KRW=84,993원 | XRP보유=7.0788
[2026-04-27 02:02:51] XRP=2,116.00원 | RSI=20.0 | KRW=84,993원 | XRP보유=7.0788
[2026-04-27 02:03:23] XRP=2,116.00원 | RSI=20.0 | KRW=84,993원 | XRP보유=7.0788
[2026-04-27 02:03:54] XRP=2,116.00원 | RSI=20.0 | KRW=84,993원 | XRP보유=7.0788
[2026-04-27 02:04:19] Bot manually stopped by user.
